Breakdown of ST (MLST) by serotype:
Selected options: Display values only. 

ST (MLST)	serotype
	ND	NT	a	b	c	d	e	f	non-b	Total
535		9								9
536		1								1
537		1								1
538		1								1
539		1								1
540		1								1
541		3								3
542		2								2
543		1								1
544		2								2
545							1			1
546		2								2
547				1						1
548		1								1
549		22								22
550		1								1
551		2								2
552		3								3
553		1								1
554		1								1
555		4								4
556		6								6
557			1							1
558		2								2
559		2								2
560		1								1
561				1						1
562				1						1
563				3						3
564				1						1
565		1								1
566		1								1
567		5								5
568		5				1				6
569		1								1
570				1						1
571				1						1
572				1						1
573	1									1
574	1									1
575	1									1
576			20							20
577		1								1
578		1								1
579		1								1
580		1								1
581								1		1
582		3								3
583		2								2
584		6								6
585		1								1
586		5								5
587		1								1
588		1								1
589		6								6
590		1								1
591		1								1
592		1								1
593		9								9
594		3								3
595		1								1
596		1								1
597		8								8
598		1						10		11
599		1								1
600		1								1
601		3								3
602		5								5
603		3								3
604		1								1
605		1								1
606		1								1
607		2								2
608		3								3
609		1								1
610		1								1
611		1								1
612		1								1
613	1									1
614	1									1
615	1									1
616				1						1
617				2						2
618									1	1
619				1						1
620				1						1
621							1			1
622									2	2
623		1								1
624		1								1
625				1						1
626				3						3
627				1						1
628									2	2
629									1	1
630		3								3
631		1								1
632		1								1
633		3								3
634		2								2
635				1						1
636		1								1
637				2						2
638		1								1
639		1								1
640		1								1
641				1						1
642		2								2
643							1			1
644		4								4
645		1								1
646		1								1
647		1								1
648		1								1
649				1						1
650				1						1
651				1						1
652		7								7
653		2								2
654		1								1
655				1						1
656				1						1
657				1						1
658				1						1
659				1						1
660				1						1
661				1						1
662				2						2
663				1						1
664				2						2
665				1						1
666				1						1
667				2						2
668		1								1
669		1								1
670		1								1
671		1								1
672		1								1
673		1								1
674		1								1
675		1								1
676		2								2
677				2						2
678				1						1
679				1						1
680		1								1
681		1								1
682		1								1
683		4								4
684		1								1
685		1								1
686		1								1
687		1								1
688		1								1
689		1								1
690		1								1
691		1								1
692		1								1
693		1								1
694		1								1
695		4								4
696		1								1
697		8								8
698								3		3
699		4								4
700		2								2
701		1								1
702		1								1
703		1								1
704							1			1
705		1								1
