Breakdown of ST (MLST) by serotype:
Selected options: Display values only. 

ST (MLST)	serotype
	A/1	F/11	F/12	G	NA	NT	No value	Not typable	O1	O1, O3, O6,O10	O10	O11	O12	O13	O14	O15	O15:O10:O14	O1:O3:O14	O1:O3:OII	O1:OII	O3	O3:O4	O3:O4:O13	O4	O4:O11	O4:O7:O11	O4:O9	O4:OII	O5	O6	O6:O10	O6:O12:O13:O14	O6:O12:O14	O6:O13:O14	O6:O14	O6:O9:O10:O4	O7	O7:O8	O8	O9	O9:O12	O9:O14	O:11	O:12	O:4	OII	ONT	P. aeruginosa	PA	no agglutinating	non serotypable	not typeable	6	2943	Total
761							1																																																1
762							1																																																1
763							1																																																1
764							1																																																1
765							1																																																1
766							3																																																3
767							2																																																2
768							1																																																1
769							2																																																2
770							1																																																1
771							1																																																1
772							1																																																1
773							5																																																5
774							1																																																1
775							17																																																17
776							1																																																1
777							2																																																2
778							1																																																1
779							2																																																2
780							2																																																2
781							1																																																1
782							13																																																13
783							1																																																1
784							1																																																1
785							1																																																1
786							1																																																1
787							1																																																1
788							5																																																5
789							2																																																2
790							1																																																1
791							1																																																1
792							2																																																2
793							1																																																1
794	1						8																																																9
795							1																																																1
796							2																																																2
797							1																																																1
798							2																																																2
799							1																																																1
800							6																																																6
801							7																																																7
802							2																																																2
803							9																																																9
804							1																																																1
805							1																																																1
806							1																																																1
807							3																																																3
808							2																																																2
809							18																																																18
810							8																																																8
811							1																																																1
812							1																																																1
814																																											1												1
815							2																																																2
821							2																																																2
822							1																																																1
823							7																																					1											8
825							1																																																1
826							1																																																1
827							1																																																1
828							5																																																5
829							2																																																2
830							3																																																3
831							1																																																1
832							3																																																3
833							1																																																1
834							1																																																1
835							1																																																1
836							3																																																3
837							1																																																1
838							1																																																1
839							1																																																1
840							1																																																1
841							1																																																1
842							1																																																1
843							1																																																1
844							1																																																1
845							29																																																29
846							1																																																1
847							4																																																4
848							1																																																1
849							2																																																2
850							2																																																2
851							1																																																1
852							2																																																2
853							1																																																1
854							2																																																2
855							1																																																1
856							2																																																2
857							1																																																1
858							1																																																1
859							3																																																3
860							4																																																4
861							1																																																1
862							1																																																1
863							4																																																4
864							1																																																1
865							2																																																2
866							1																																																1
867							1																																																1
868							1																																																1
869							1																																																1
870							2																																																2
871							2																																																2
872							1																																																1
873							1																																																1
874							2																																																2
875							2																																																2
876							2																																																2
877							2																																																2
878							1																																																1
