Breakdown of ST (MLST) by serotype:
Selected options: Display values only. 

ST (MLST)	serotype
	H 10a, 10b	H 13	H 34	H 3a, 3b, 3c	H 4a, 4c	H 5a, 5c	H 6	H 7	H 8a, 8b	H 9	H34	NT	No value	UN	chinensis CT-43	galleriae	kurstaki	morrisoni	not known	thuringiensis	unknown	1	2	3a, 3b, 3c	3a, 3d	3a,3c	4a, 4b	4a, 4c	5a, 5b	5a, 5c	6	7	8a 8b	8a, 8b	8a, 8c	8b, 8d	9	10a, 10b	10a, 10c	11a, 11b	11a, 11c	12	13	14	15	16	17	18a, 18b	18a, 18c	18a,18b	19	20a, 20b	20a, 20c	21	22	24a, 24b	24a, 24c	26	27	28a, 28b	29	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	65	67	Total
357													1																																																																																			1
358													1																																																																																			1
359													1																																																																																			1
360													1																																																																																			1
361													1																																																																																			1
362													2																																																																																			2
363													4																																																																																			4
364													2																																																																																			2
365													6																																																																																			6
366													1																																																																																			1
367													1																																																																																			1
368													1																																																																																			1
369													2																																																																																			2
370													6																																																																																			6
371													4																																																																																			4
372													1																																																																																			1
373													1																																																																																			1
374													3																																																																																			3
375													1																																																																																			1
376													9																																																																																			9
377													5																																																																																			5
378													1																																																																																			1
379													1																																																																																			1
380													2																																																																																			2
381													1																																																																																			1
382													1																																																																																			1
383													1																																																																																			1
384													1																																																																																			1
385													1																																																																																			1
386													1																																																																																			1
387													3																																																																																			3
388													1																																																																																			1
389													1																																																																																			1
390													1																																																																																			1
391													1																																																																																			1
392													1																																																																																			1
393													1																																																																																			1
394													4																																																																																			4
395													5																																																																																			5
396													1																																																																																			1
397													1																																																																																			1
398													1																																																																																			1
399													1																																																																																			1
400													1																																																																																			1
401													1																																																																																			1
402													1																																																																																			1
403													1																																																																																			1
404													1																																																																																			1
405													1																																																																																			1
406													3																																																																																			3
407													1																																																																																			1
408													1																																																																																			1
409													3																																																																																			3
410													14																																																																																			14
411													1																																																																																			1
412													1																																																																																			1
413													4																																																																																			4
414													5																																																																																			5
415													2																																																																																			2
416													2																																																																																			2
417													1																																																																																			1
418													6																																																																																			6
419													1																																																																																			1
420													1																																																																																			1
421													2																																																																																			2
422													2																																																																																			2
423													1																																																																																			1
424													1																																																																																			1
425													1																																																																																			1
426													1																																																																																			1
427													1																																																																																			1
428													4																																																																																			4
429													2																																																																																			2
430													2																																																																																			2
431													1																																																																																			1
432													3																																																																																			3
433													1																																																																																			1
434													1																																																																																			1
435													1																																																																																			1
