Breakdown of ST (MLST) by serotype:
Selected options: Display values only. 

ST (MLST)	serotype
	A	B	C	Ib	NG	NST	NT	No value	P1.-	P1.12	P1.13	P1.14	P1.19	P1.7.10	P1.9	P2.22	P2.2a	P2.2b	P3.1	P3.14	P3.14,19	P3.15	P3.15,2.2a	P3.15,21	P3.19	P3.21	P3.22	P3.4	P3.4,21	P3.8,19	W	W-135	WII/III	b4	nt	nt, 1.16, nt	nt, p1.14, nt	nt, p1.15, nt	nt, p1.3, p1.6	nt, p1.9, nt	nt,14,nt	nt,nt,nt	nt,nt,p1.3	nt,nt,p1.9	nt,p.1.4,nt	nt,p1.13,nt	nt,p1.14,nt	nt,p1.16,nt	nt,p1.2,nt	nt,p1.3,nt	nt,p1.3,p1.6	nt,p1.4,nt	nt,p1.9,nt	p.1.19,p1.15,nt	p1.19, nt, nt	p1.19,nt,nt	p1.19,p1.15,nt	p1.5,nt,nt	p1.5,p1.2,nt	p1.7,nt,nt	y	1	1, 4	1,14	1,19	1W	1.14	1.7, 1.16, nt	1.7,1.16,nt	1.7,nt,nt	2	2, 10	2, 7	2A	2B	2C	2W	2a	2a,nt,nt	2b	2b, 4	2b,15	2b,16	2b/15	2c	2c, 4	3,14	3.1	3.14	3.15	3.22	4	4, 14, 21	4, 15	4, 21	4,10	4,10,1	4,14	4,15	4,21	4,7	4,7,14	4Z	4p,z	4.14	4.15	4.7	5	5, 12	5,nt,nt	6	7	7,17	7,19	7,8,19	8	8,1	8,10,19	8,19	8,19,22/23	8,9,10	8,9,22/23	9	10	11	12	14	14,15	14,16,19	14,19	14,19.	15	15,16	15,19	15,21	15,23	15,8	15/16	15?	15W	15wk	16	17	17,10	17,7	19	19,1	19,10	19,14	19,21	19,7	21	22	23	Total
9196								1																																																																																																																																																			1
9197								3																																																																																																																																																			3
9198								2																																																																																																																																																			2
9199								5																																																																																																																																																			5
9200							3	5																																																																																																																																																			8
9201								3																																																																																																																																																			3
9202								1																																																																																																																																																			1
9203								4																																																																																																																																																			4
9204								2																																																																																																																																																			2
9205								1																																																																																																																																																			1
9206								1																																																																																																																																																			1
9207								2																																																																																																																																																			2
9208								1																																																																																																																																																			1
9209								1																																																																																																																																																			1
9210								1																																																																																																																																																			1
9211								1																																																																																																																																																			1
9212								1																																																																																																																																																			1
9213								1																																																																																																																																																			1
9214								3																																																																																																																																																			3
9215								1																																																																																																																																																			1
9216								1																																																																																																																																																			1
9217								1																																																																																																																																																			1
9218								1																																																																																																																																																			1
9219								1																																																																																																																																																			1
9220								2																																																																																																																																																			2
9221								1																																																																																																																																																			1
9222								1																																																																																																																																																			1
9223								2																																																																																																																																																			2
9224								5																																																																																																																																																			5
9225								1																																																																																																																																																			1
9226								2																																																																																																																																																			2
9227																																																																																																																																				1																							1
9228								1																																																																																																																																																			1
9229								4																																																																																																																																																			4
9230								2																																																																																																																																																			2
9231							1																																																																																																																																																				1
9232								1																																																																																																																																																			1
9233								3																																																																																																																																																			3
9234								1																																																																																																																																																			1
9235								2																																																																																																																																																			2
9236								1																																																																																																																																																			1
9237								1																																																																																																																																																			1
9238								2																																																																																																																																																			2
9239								2																																																																																																																																																			2
9240								2																																																																																																																																																			2
9241								2																																																																																																																																																			2
9242								4																																																																																																																																																			4
9243								1																																																																																																																																																			1
9244																																																														1																																																																																													1
9245																																																																																																																															1																												1
9246								4																																																																																																																												1																							5
9247					1																																																																																																																																																						1
9248									1																																																																																																																																																		1
9249								1																																																																																																																																																			1
9250							1																																																																																																																																																				1
9251								1																																																																																																																																																			1
9252							1																																																																																																																																																				1
9253								3																																																																																																																							1																												4
9254								1																																																																																																																																																			1
9255								1																																																																																																																																																			1
9256								1																																																																																																																																																			1
9257								1																																																																																																																																																			1
9258								1																																																																																																																																																			1
9259								1																																																																																																																																																			1
9260								1																																																																																																																																																			1
9261								1																																																																																																																																																			1
9262								1																																																																																																																																																			1
9263								1																																																																																																																																																			1
9264								1																																																																																																																																																			1
9265								1																																																																																																																																																			1
9266								1																																																																																																																																																			1
9267								1																																																																																																																																																			1
9268																																																																																												1																																																															1
9269								1																																																																																																																																																			1
9270								1																																																																																																																																																			1
9271								1																																																																																																																																																			1
9272								1																																																																																																																																																			1
9273								1																																																																																																																																																			1
9274								1																																																																																																																																																			1
9275								1																																																																																																																																																			1
9276								1																																																																																																																																																			1
9277								1																																																																																																																																																			1
9278								1																																																																																																																																																			1
9279								1																																																																																																																																																			1
9280								1																																																																																																																																																			1
9281								1																																																																																																																																																			1
9282								1																																																																																																																																																			1
9283								1																																																																																																																																																			1
9284								1																																																																																																																																																			1
9285								1																																																																																																																																																			1
9286								1																																																																																																																																																			1
9287								1																																																																																																																																																			1
9288								1																																																																																																																																																			1
9289								1																																																																																																																																																			1
9290								1																																																																																																																																																			1
9291								1																																																																																																																																																			1
9292								1																																																																																																																																																			1
9293								20																																																																																																																																																			20
9294																																																																																												1																																																															1
9295								1																																																																																																																																																			1
9296								1																																																																																																																																																			1
9297								1																																																																																																																																																			1
9298								1																																																																																																																																																			1
9299								2																																																																																																																																																			2
9300								11																																																																																																																																																			11
9301								2																																																																																																																																																			2
9302								1																																																																																																																																																			1
9303								2																																																																																																																																																			2
9304								12																									1																																																																																																																										13
9305		1																																																																																																																																																									1
9306								1																																																																																																																																																			1
9307								4																																																																																																																																																			4
9308								2																																																																																																																																																			2
9309								2																																																																																																																																																			2
9310								2																																																																																																																																																			2
9311								2																																																																																																																																																			2
9312																																																																																1																																																																											1
9313								2																																																																																																																																																			2
9314								2																																																																																																																																																			2
9315								1																																																																																																																																																			1
9316								88																																																																																																																																																			88
9317								1																																																																																																																																																			1
9318								1																																																																																																																																																			1
9319								1																																																																																																																																																			1
9321								2																																																																																																																																																			2
9322								1																																																																																																																																																			1
9323								1																																																																																																																																																			1
9324								1																																																																																																																																																			1
9325								1																																																																																																																																																			1
9326								1																																																																																																																																																			1
9327								3																																																																																																																																																			3
9328								2																																																																																																																																																			2
9329								1																																																																																																																																																			1
9330								1																																																																																																																																																			1
9331								2																																																																																																																																																			2
9332								2																																																																																																																																																			2
9333								2																																																																																																																																																			2
9334								2																																																																																																																																																			2
9335								2																																																																																																																																																			2
9336								2																																																																																																																																																			2
9337								2																																																																																																																																																			2
9338								2																																																																																																																																																			2
9339								2																																																																																																																																																			2
9340								1																																																																																																																																																			1
9341								1																																																																																																																																																			1
9342								2																																																																																																																																																			2
9343								4																																																																																																																																																			4
9344								4																																																																																																																																																			4
9345								2																																																																																																																																																			2
9346								2																																																																																																																																																			2
9347								1																																																																																																																																																			1
9349								1																																																																																																																																																			1
9350								2																																																																																																																																																			2
9351								1																																																																																																																																																			1
9352								3																																																																																				1																																																															4
9353								1																																																																																																																																																			1
9354								3																																																																																																																																																			3
9355								1																																																																																																																																																			1
9356								1																																																																																																																																																			1
9357								3																																																																																																																																																			3
9358								1																																																																																																																																																			1
9359								1																																																																																																																																																			1
9360								1																																																																																																																																																			1
9361								1																																																																																																																																																			1
9362								55																																																																																																																																																			55
9363		2						725																																																																																																																																																			727
9364								5																																																																																																																																																			5
9365								17																																																																																																																																																			17
9366																																																																																												1																																																															1
9367								2																																																																																																																																																			2
9368								1																																																																																																																																																			1
9369								2																																																																																																																																																			2
9370								1																																																																																																																																																			1
9371								1																																																																																																																																																			1
9372								2																																																																																																																																																			2
9373								2																																																																																																																																																			2
9374								2																																																																																																																																																			2
9375								3																																																																																																																																																			3
9376								2																																																																																																																																																			2
9377								2																																																																																																																																																			2
9378								1																																																																																																																																																			1
9379								1																																																																																																																																																			1
9380								1																																																																																																																																																			1
9381								1																																																																																																																																																			1
9382								1																																																																																																																																																			1
9383								2																																																																																																																																																			2
9384								1																																																																																																																																																			1
9385								1																																																																																																																																																			1
9386								1																																																																																																																																																			1
9387								1																																																																																																																																																			1
9388								1																																																																																																																																																			1
9389								1																																																																																																																																																			1
9390								2																																																																																																																																																			2
9391								1																																																																																																																																																			1
9392								1																																																																																																																																																			1
9393								1																																																																																																																																																			1
9394								1																																																																																																																																																			1
9395								1																																																																																																																																																			1
9396								1																																																																																																																																																			1
9397								1																																																																																																																																																			1
9398								1																																																																																																																																																			1
9399								1																																																																																																																																																			1
9400								1																																																																																																																																																			1
9401								1																																																																																																																																																			1
9402								1																																																																																																																																																			1
9403								1																																																																																																																																																			1
9404								1																																																																																																																																																			1
9405								1																																																																																																																																																			1
9406								1																																																																																																																																																			1
9407								2																																																																																																																																																			2
9408								2																																																																																																																																																			2
9409								1																																																																																																																																																			1
9410								1																																																																																																																																																			1
9411								2																																																																																																																																																			2
9412								1																																																																																																																																																			1
9413								3																																																																																																																																																			3
9414								1																																																																																																																																																			1
9415								2																																																																																																																																																			2
9416								1																																																																																																																																																			1
9417							1	1																																																																																																																																																			2
9418								3																																																																																																																																																			3
9419								2																																																																																																																																																			2
9420								1																																																																																																																																																			1
9421								1																																																																																																																																																			1
9422								1																																																																																																																																																			1
9423								4																																																																																																																																																			4
9424								1																																																																																																																																																			1
9425								1																																																																																																																																																			1
9426								1																																																																																																																																																			1
9427								1																																																																																																																																																			1
9428								1																																																																																																																																																			1
9429								1																																																																																																																																																			1
9430								1																																																																																																																																																			1
9431								1																																																																																																																																																			1
9432								1																																																																																																																																																			1
9433							1																																																																																																																																																				1
9434								1																																																																						1																																																																													2
9435								2																																																																						1																																																																													3
9436																																																																																												1																																																															1
9437																																																														1																																																																																													1
9438																																																																																												1																																																															1
9439																																																														1																																																																																													1
9440																																																																																												2																																																															2
9441																																																																																																																																				1																							1
9442								1																																																																																																																																																			1
9443																																																																																																																																				2																							2
9444																																																																																																																																				1																							1
9445																																																														1																																																																																													1
9446								1																																																																																																																																																			1
9447								1																																																																																																																																																			1
9448								1																																																																																																																																																			1
9449								1																																																																																																																																																			1
9450								1																																																																																																																																																			1
9451								1																																																																																																																																																			1
9452								6																																																																																																																																																			6
9453							1	1																																																																																																																																																			2
9454								10																																																																																																																																																			10
9455								3																																																																																																																																																			3
9456								3																																																																																																																																																			3
9457								1																																																																																																																																																			1
9458								1																																																																																																																																																			1
9459								1																																																																																																																																																			1
9460								1																																																																																																																																																			1
9461								4																																																																																																																																																			4
9462								1																																																																																																																																																			1
9463								1																																																																																																																																																			1
9464								1																																																																																																																																																			1
9465								1																																																																																																																																																			1
9466								1																																																																																																																																																			1
9468								2																																																																																																																																																			2
9469								1																																																																																																																																																			1
9470								6																																																																																																																																																			6
9471								2																																																																																																																																																			2
9472								1																																																																																																																																																			1
9473								2																																																																																																																																																			2
9474																																																																																												1																																																															1
9475								1																																																																																																																																																			1
9476								3																																																																																																																																																			3
