Breakdown of ST (MLST) by serovar:
Selected options: Display values only. 

ST (MLST)	serovar
	Abaetetuba	Aberdeen	Abony	Abortusequi	Abortusovis	Adelaide	Aderike	Agama	Agbeni	Ago	Agona	Ajiobo	Alachua	Albany	Altona	Amsterdam	Anatum	Anecho	Apapa	Arechavaleta	Ashford	Augustenborg	Baguida	Baildon	Bareilly	Berta	Binza	Blockley	Bonariensis	Bovismorbificans	Braenderup	Brandenburg	Brazzaville	Bredeney	Brunei	Caracas	Carmel	Carno	Carrau	Carshalton	Cerro	Charity	Chester	Choleraesuis	Coeln	Colchester	Coleypark	Colindale	Concord	CoppettsWood	Cork	Corvallis	Cotham	Cubana	Curacao	Derby	Dublin	Durham	Ealing	Eastbourne	Edinburg	Eimsbuettel	Emek	Enteritidis	Farsta	Florida	Fluntern	Frimley	Gafsa	Galiema	Gallinarum	Gaminara	Give	Glostrup	Goelzau	Gold coast	Goodmayes	Goverdhan	Hadar	Haifa	Harrow	Hartford	Havana	Heidelberg	Herston	Hull	Hvittingfoss	Idikan	Indiana	Inganda	Inverness	Ipswich	Irumu	Isangi	Java	Javiana	Jedburgh	Johannesburg	Kentucky	Kenya	Kiambu	Kibusi	Kingslynn	Kingston	Kintambo	Kisangani	Kisarawe	Kottbus	Kua	Labadi	Lagos	Lexington	Lika	Lille	Lingwala	Litchfield	Livingstone	Lomalinda	London	Maastricht	Manhattan	Maritzburg	Martonos	Matadi	Maybush	Mbandaka	Meleagridis	Mgulani	Miami	Mikawasima	Minnesota	Mississippi	Monschaui	Montevideo	Muenchen	Muenster	Naestved	Namur	Napoli	Nchanga	Newport	Newport I	Newport II	Newport III	Nima	Norwich	Nottingham	Oakland	Ohio	Oranienburg	Orientalis	Orion	Oslo	Panama	Paratyphi A	Paratyphi B	Paratyphi BI	Paratyphi BII	Paratyphi BIII	Paratyphi BIV	Paratyphi C	Pomona	Poole	Poona	Pullorum	Ramatgan	Reading	Richmond	Ridge	Rissen	Rubislaw	Saintpaul	Sandbanks	Sandiego	Schwarzengrund	Senftenberg	Singapore	Sloterdijk	Soerenga	Stafford	Stanley	Stanleyville	Sundsvall	Szentes	Tallahassee	Teko	Tennessee	Thompson	Tomegbe	Torbay	Treforest	Tucson	Typhi	Typhimurium	Typhisuis	Uganda	Umbilo	Urbana	Vejle	Virchow	Vitkin	Wandsworth	Wangata	Weltevreden	Welwyn	Weslaco	Westhampton	Worthington	Zanzibar	other	unknown	Infantis	Total
2341																																																																																																																																																																																																	1																				1
2342																																																																																																																																																																																																	1																				1
2344																																																																																																																																																																																																																		1	1		2
2345																														2																																																																																																																																																																																							2
2346																																																																																																																																																																																																																			1		1
2347																																																																																																																																1																																																																																					1
2350																																																																																																																																																																																																	1																				1
2352																																																																																																																																																																																																	2																				2
2353																																																																																																																																																																																																	3																				3
2355																																																																																																																																																																																																	3																				3
2356																																																																																																																																																																																																	3																				3
2358																																																																																																																																																																																																	3																				3
2359																																																																																																																																																																																																	2																				2
2360																																																																																																																																																																																																	2																				2
2361																																																																																																																																																																																																	1																		4		5
2364																																																																																																																																															1																																																																						1
2365																																																																																																																																													1																																																																								1
2369																																																																																																																																															1																																																																						1
2370																																																																																																																																													3																																																																								3
2371																																																																																																																																																																																																																			1		1
2372																																																																																																																																													1		1																																																																						2
2373								1																																																																																																																																																																																																													1
2374																																																																																																																																																																																																																		4	2		6
2375																																																																																																																					1																																																																																																1
2376																																																																																																																																																																																																																			1		1
2378																																																																																																																																																																																																																		1			1
2382																																																																																																																																																											1																																																										1
2385																																																																																																																																																																																																		2																			2
2387																																																																																																																																																																																																																			1		1
2388																																																																																																																																																																											2																																								1		3
2389																																																																																																																																																																																																																			1		1
2390																																																																																																																																																																																																																		1			1
2394																																																																																																2																																																																																																																			1		3
2395																																																																																																																																																			3																																																																		3
2396																																																																																																																																																																																																																		1			1
2397																																																																																																																																																												1																																																									1
2398																																									3																																																																																																																																																																												3
2399																																																																																																																																																																																																																		2			2
2400																																																																																																																																	1																																																																																				1
2402																																																																																																																																																																																																																		6	1		7
2403																																																																																																																																																																																																																			1		1
2405																																							3																																																																																																																																																																														3
2406																																																																																																																																																																																																																		1			1
2407																																									2																																																																																																																																																																												2
2408																																																																																																													1																																																																																																								1
2412																																																																																																																																																																																																																			1		1
2413																																																																																																																																																																																																												1									1
2414																																																																																																																																																												1																																																									1
2416																																																																																																																																																																																																																		34	5		39
2417																																																																																																																																																																																												2																									2
2418																																																																																																																																							1																																																																														1
2419																																																																																																																																																																																																																			1		1
2420																																																																																																																																																																																																																		2	1		3
2421																																																																																																																																																																																																																			1		1
2422																																																																																																																																																																																																																	1				1
2424																																																																																																																																																																																																																			1		1
2425																																																																																																																																																																																																																			1		1
2427																																																																																																																																																																																																																		1			1
2428																																																																																																																																																																																																																			1		1
2430																																																																																																																																																																																																																			1		1
2431																																																																																																																																																																																																																		3	1		4
2433																																																													1																																																																																																																																																								1
2434																																																																																																																																																																																																																			1		1
2435																																							1																																																																																																																																																																														1
2439																																																																								1																																																																																																																																													1
2440																																																																								1																																																																																																																																													1
2445																																																																																																																1																																																																																																					1
2446																																																																																																																																																																																																								1											1		2
2447																																																																																																																																																									1																																																												1
2450																																																																																																																																																																																																																		1			1
2452																																																																																																																																																																																																																		1			1
2453																																																																																																																																																																					1																																																1
2455																																																																																																																																																																																																																		1			1
2456																																																																																																																																																																							1																																														1
2457																																																																																																																																																																																																																		1			1
2458																																																																																																																																																																																					3																																3
2459																																																						1																																																																																																																																																															1
2460																																																																																																																																																																																																																		1	1		2
2461																																																																																																																																																																																																																		1			1
2462																																																																																																																																																																																																																		1			1
2463																																																																																																																																																																																																																		1			1
2464																																																																																																																																																						1																																																															1
2465																																																																																																																																																																																																																		4			4
2466																																																																																																																																																																																																																		1			1
2467																																																																																																																																																																																																																		1			1
2468																																																																																																																																																																																																																		1			1
2469																																																																																																															6																																																																																																			1	1		8
2470	1																																																																																																																																																																																																																				1
2473																																																																																																																											1																																																																																										1
2475																																																																																																																																																																																																																		1	1		2
2476																																																																																																																																																																																																																			1		1
2477																																																																																																																																																																																																																		2	1		3
2478																																																																																																	1																																																																																																																				1
2479																																																																																																																																																																																																																			1		1
2480																																																																																																																																																																																																																			1		1
2481																																																																																																																																																																																																																		2	1		3
2482																																																																																																																																																																																																																			1		1
2485																																																																																																																																																					1																																																																1
2486																																																																																																																																																																																																																		1	1		2
2487																																																																																																																																																																																																																		1	1		2
2488																																																																																																																																																																															1																																						1
2489																																																																																																																																																																																																																		2			2
2490																																																																																																																																																																																																																		2	4		6
2495																																																																																																			1																																																																																																																		1
2496																																																																																																																																																																												1																																									1
2498																																																										1																																																																																																																																																											1
2499																																																																																																																																																																																																																			1		1
2500																																																																																																1																																																																																																																					1
2501																																																																																							1																																																																																																																												2		3
2503																																																																																											3																																																																																																																										3
2504																																																																																																																																																																																																																			1		1
2505																																																																																																																																																																																																																		5	1		6
2506																																																																																																																																																																																																																		1			1
2507																																																																																																																																																																																																																		2			2
2508																																																																																																																																																																																																																			1		1
2509																																																																																																																																																																																																																		4	4		8
2510																																																																																																																																																																																																															1						1
2511																																																																																																																																																																																																																		2	2		4
2512																																																																																																																																																																																																																		2	5		7
2513																																																																																																																																																																																																																		1	3		4
2514																																																				1																																																																																																																																																																	1
2516																																																																																																																																																																																																																		2	1		3
2517																																																																																																																																																																																																																		1			1
2518																																																																																																																																																																																																																			1		1
2519																																																																										2																																																																																																																																									1		3
2522																																																																																																																																																																																																																		1	1		2
2523																																																																																																																																																																																																																		13	3		16
2524																																																																																																																																																																																																																			2		2
2525																																																																																																																																																																																																																			1		1
2526																																																																																																																																												1																																																																									1
2528									1																																																																																																																																																																																																												1
2529																																																																												1																																																																																																																																									1
2530																																																1																																																																																																																																																																					1
2531																																																												1																																																																																																																																																									1
2532																																																																																																																																																																																																																		1			1
2534																																																																																																																																																																																																																			1		1
2535																																																																																																																																																																																																																		1			1
2536																																																																																																																																																																																																																		1			1
2537																																																																																																																																																																																																																		1			1
2538																																																																																																																																																																																											1																										1
2539																																																																																																																																																																																																																		2	1		3
2540																																																																																																																																																																																																																			1		1
2541																																																																																																																1																																																																																																					1
2542																																																				1																																																																																																																																																																	1
2544																									3																																																																																																																																																																																												3
2545																																																																																															1																																																																1																																																						2
2546																																																																																															1																																																																																																																						1
2547																																																																																																																																																																																																																		1	2		3
2548																																																																																																																																																																																																																		1			1
2549																																																																																																																																																																																																																		1			1
2550																									2																																																																																																																																																																																												2
2551																									1																																																																																																																																																																																										1		2
2552																									1																																																																																																																																																																																												1
2553																									2																																																																																																																																																																																										1		3
2554																									1																																																																																																																																																																																												1
2555																									1																																																																																																																																																																																									1	1		3
2556																																																																																																																																			1																																																																																		1
2558																																																																																																																																																																																																																		1			1
2559																																																																																																																																																																																																																			1		1
2560																																																																																																																																																																																																																			1		1
2561																																																																																																																																																																																																																			1		1
2562																																																																																																																																																																																						3																															3
2564																																																																																						1																																																																																																																												1			2
2565										1																																																																																																																																																																																																											1
2568																																																																																																																																																																																																																		1	1		2
2569																																																																																																																																																																																																																		1	3		4
2570																																																																																																																																																																																																																		2	1		3
2571																																																																																																																																																																																																																		2	2		4
2572																																																																															2																																																																																																																																						2
2573																																																																																																																																																																																																																			1		1
2574																																																																																																																																																																																																																			2		2
2577																																1																																																																																																																																																																																					1
2578																																																																																																																																																																																																																		1			1
2580																																																																																																																																																																																																																		1			1
2581																																																																																																																																																																																																																		1			1
2582																																																																																																																																																																																																																		1			1
2583																																																																																																																																																																																																																		1			1
2584																																																																																																																																																																																																																		1			1
2585																																																																																																																																																																																																																		2	1		3
2586																																																																																		3																																																																																																																																			3
2587																																																																																																																					1																																																																																																1
2588																																																																																																																																																																																																																			1		1
2589																																																																																																																																																																																																																			1		1
2590																																																																																																																																																																																																																			1		1
2592																													1																																																																																																																																																																																								1
2593																																																																																																																																																																																																																		1			1
2594																																																																																																																																																																																																																		2	3		5
2596										1																																																																																																																																																																																																											1
2597						1																																																																																																																																																																																																															1
2599																																																																																																																																																																																1																																					1
2600																																																																																																																																																																																																																		1			1
2601																																																																																																																																					1																																																																																1
2602																																																																																																																																																																																																																			1		1
2603																																																																												1																																																																																																																																									1
2605																																																																																																																																																																																																																			1		1
2607																																																																		1																																																																																																																																																			1
2608																																																																																															1																																																																																																																						1
2610																																																																																																																																																																																																												1						2			3
2611																																																																																																																																																																																																																		1			1
2612																																																																																																																																																																																																																		1			1
2613																																																																																																																					1																																																																																																1
2614																																																																																																																																																																																																																		1			1
2615																																																																																																																																																																																					1																																1
2616																																																						2																																																																																																																																																															2
2617																																																																																																																																																																																																																		1			1
