Breakdown of ST (MLST) by serovar:
Selected options: Display values only. 

ST (MLST)	serovar
	Abaetetuba	Aberdeen	Abony	Abortusequi	Abortusovis	Adelaide	Aderike	Agama	Agbeni	Ago	Agona	Ajiobo	Alachua	Albany	Altona	Amsterdam	Anatum	Anecho	Apapa	Arechavaleta	Ashford	Augustenborg	Baguida	Baildon	Bareilly	Berta	Binza	Blockley	Bonariensis	Bovismorbificans	Braenderup	Brandenburg	Brazzaville	Bredeney	Brunei	Caracas	Carmel	Carno	Carrau	Carshalton	Cerro	Charity	Chester	Choleraesuis	Coeln	Colchester	Coleypark	Colindale	Concord	CoppettsWood	Cork	Corvallis	Cotham	Cubana	Curacao	Derby	Dublin	Durham	Ealing	Eastbourne	Edinburg	Eimsbuettel	Emek	Enteritidis	Farsta	Florida	Fluntern	Frimley	Gafsa	Galiema	Gallinarum	Gaminara	Give	Glostrup	Goelzau	Gold coast	Goodmayes	Goverdhan	Hadar	Haifa	Harrow	Hartford	Havana	Heidelberg	Herston	Hull	Hvittingfoss	Idikan	Indiana	Inganda	Inverness	Ipswich	Irumu	Isangi	Java	Javiana	Jedburgh	Johannesburg	Kentucky	Kenya	Kiambu	Kibusi	Kingslynn	Kingston	Kintambo	Kisangani	Kisarawe	Kottbus	Kua	Labadi	Lagos	Lexington	Lika	Lille	Lingwala	Litchfield	Livingstone	Lomalinda	London	Maastricht	Manhattan	Maritzburg	Martonos	Matadi	Maybush	Mbandaka	Meleagridis	Mgulani	Miami	Mikawasima	Minnesota	Mississippi	Monschaui	Montevideo	Muenchen	Muenster	Naestved	Namur	Napoli	Nchanga	Newport	Newport I	Newport II	Newport III	Nima	Norwich	Nottingham	Oakland	Ohio	Oranienburg	Orientalis	Orion	Oslo	Panama	Paratyphi A	Paratyphi B	Paratyphi BI	Paratyphi BII	Paratyphi BIII	Paratyphi BIV	Paratyphi C	Pomona	Poole	Poona	Pullorum	Ramatgan	Reading	Richmond	Ridge	Rissen	Rubislaw	Saintpaul	Sandbanks	Sandiego	Schwarzengrund	Senftenberg	Singapore	Sloterdijk	Soerenga	Stafford	Stanley	Stanleyville	Sundsvall	Szentes	Tallahassee	Teko	Tennessee	Thompson	Tomegbe	Torbay	Treforest	Tucson	Typhi	Typhimurium	Typhisuis	Uganda	Umbilo	Urbana	Vejle	Virchow	Vitkin	Wandsworth	Wangata	Weltevreden	Welwyn	Weslaco	Westhampton	Worthington	Zanzibar	other	unknown	Infantis	Total
233																																																																																																																																																																																																																		20	17		37
237																																																																																																																																																																																																																		1	1		2
238																				1																																																																																																																																																																																														1	1		3
239																																																																								14																																																																																																																																										1	9		24
241																																		8																																																																																																																																													4																																			1	1		14
243																																																																																																																																																																																																																		6	2		8
247																																																																																																																8																																																																																																		1	2		11
249																																3																																																																																																																																																																																					3
251				2																																																																																																																																																																																																																	2
254																																																																																																										13																																																																																																											13
276																																																																																																																																																																																																																		3			3
277																																																																																																																																																																																																																			1		1
279																																																																																																																																																																															1																			3																1	1		6
286																																																						17																																												1																																																																																																																	1		19
287																																																																																																																																																																																																																		1	1		2
288																																																																																																																																																																																																																		1			1
290																																																																																																																														1																																																		2																																					3
292														10																																																																																																																																																																																																				3	1		14
293																																																																																																																																																																																																																		1	6		7
297																																																																																																																		4																																																																																																2			6
302																																																																																																																																																																																																		2																	1		3
303																																																																																																																																																																																																								2											1		3
305																																																																																																																																						3																																																																													1		4
306																																		3																																																																																																																				1																																																													1		5
307																																																																																																																																																															5																																																						5
308																																																																																																																																																																				3																																																	3
309																																																																																																					7																																																																																													4																	1		12
311																															6																																																																																																																																																																																						6
312																																																																																			1																																																																																																																																		1
313																																																																																																																																																																																																	1	341																	5		347
314																																																																																																			3																																																																																																																1		4
316																																																																																																																																						71																																																																													1		72
318																																																																																																			1																																																																																																																		1
319																																																																																																																																																																										1																	45																								3		49
320																																																																																																																																																						4																																																															4
321																																																																																																																																								20																																																																											1		21
322																																																																																																																																								1																																							2																																						3
323																																																																																																																																																																																																		3																			3
328																																																																																																																																																																																																		1																			1
329																																																																																																																																																					16																																																																16
331																																																																							1																																																																																																																																														1
334																																1																																																																																																																																																																																		1	1		3
339																																																																																																																																																																																						5																															5
343																																											3																																																																																																																																																																								2		5
350																																																																																																																																													3			1																																																																			1		5
357																																																																		1																																																																																																																																																	1		2
358																																																																												17																																																																																																																																							1		18
359																																																																																																																																																																																																								10											2		12
362																									15																																																																																																																																																																																										1		16
365																																																																1																																																																																																																																												77						1	5		84
366																																																																5																																																																																																																																																			1		6
367																																									32															1																																																																																																																																																										2	3		38
