Breakdown of ST (MLST) by serotype:
Selected options: Display values only. 

ST (MLST)	serotype
	Ccond  [O1]	Cdub 01	Cdub O1	Cdub O1a	Cdub O1b	Cdub O2	Cdub O4	Cmal O1	Cmal O2	Cmal O3	CmalO1CsakO4	CmalO2	Cmuyt O1	Cmuyt O2	Cmuyt O3	Csak O1	Csak O1'	Csak O2	Csak O2'	Csak O3	Csak O4	Csak O7	Csak O:1	CsakO1	CsakO2	CsakO3	CsakO7	Ctur O1	Ctur O2	Ctur O3	Ctur O4	Ctur O:1	Cuni O1	No value	Not found	O1	[Csak O5]	[Csak O6]	[Ctur O2]	Total
479						1																																		1
481			1																																					1
482																																			1					1
483																																		1						1
484																																		1						1
485																																		1						1
486																																		1						1
487																																		1						1
488																																		1						1
489																																		1						1
490																																		1						1
491																																		1						1
492																																		1						1
493																																		2						2
494																																		9						9
495																1																		1						2
498																																			1					1
500																						1																		1
501																																		1						1
502																														1										1
504									1																															1
506																																			1					1
508																		1																						1
509																		1																						1
510																																	1							1
511								1																																1
512																																	1							1
513																		12																						12
514																		1																						1
515																		1																						1
516																		1																						1
517																																		1						1
518																																		1						1
519																																		1						1
520																																		1						1
521																																		1						1
522																																		1						1
523																																		1						1
524			2																															1						3
525																																		1						1
526																																		1						1
527																																		1						1
528																																		1						1
529																																		1						1
530																																		1						1
531																																		1						1
532																																		1						1
533																																		1						1
534																																		1						1
535																																		1						1
536																																		1						1
537																																		1						1
538																1																		1						2
539																1																								1
540																				2														2						4
541								1																																1
542			1																															2						3
543																						1																		1
544																1																								1
545								1																																1
546																																		2						2
547			2																																					2
548						1																																		1
549			1																																					1
550																																		3						3
551																																			1					1
552																1																								1
553								1																																1
554								1																																1
555																				1																				1
556																2																								2
557																												1												1
559						1																																		1
560																																			1					1
561			1																																					1
562																1																								1
563									1																															1
564																1					1																			2
565																																			1					1
566																		1																						1
567									1																									4						5
568																														1										1
569																																		2						2
570			1																															1	2					4
573									1																															1
574			2																																					2
576			1																																					1
577									1																															1
578			1																																					1
579																																			1					1
581			1																																					1
582						1																																		1
583						1																																		1
584						1																																		1
585								1																																1
586																																			1					1
587																						1																		1
588																														1										1
590																																			1					1
591																																		1						1
592			1																																					1
593																																		2						2
594																																		1						1
595																																		1						1
596																		1																						1
597																					1																			1
598																		1																						1
599																				1																				1
600																		1																						1
601																		2																						2
602																		1																						1
603																																		1						1
604																																		1						1
605																																		1						1
606																																		1						1
607			1																															2						3
608																																		1						1
610																																		1						1
611																																		1						1
612																																		2						2
613																																		2						2
614																												1												1
615																3																								3
616																		1																						1
617									1																									2						3
618																1																								1
619																				1																				1
620																																		2						2
621																																		1						1
622									1																															1
623																																		1						1
624																																		1						1
625																																		2						2
626																																		1						1
627																																		2						2
628																																		2						2
629												1																						2						3
630																																		1						1
631																																		2						2
632																																		2						2
633																																		3						3
634																																		2						2
635																																		1						1
636																																		2						2
637																																		1						1
638																																		1						1
640																																		1						1
641																1																								1
642																																		1						1
643																																		1						1
644																																		1						1
645																																		1						1
646																																		1						1
647																																		4						4
648																																		1						1
649																																		2						2
650																																		1						1
651																																		1						1
652																																		1						1
653																																		1						1
654																																		2						2
655																																		1						1
656																																		1						1
657																																		1						1
658																																		2						2
659																																		1						1
660																																		2						2
661																																		1						1
662																																		1						1
663																																		1						1
664																																		1						1
665																																		1						1
666																																		1						1
667																																		1						1
668																																		1						1
669																																		1						1
670																																		1						1
671																																		1						1
672																																		1						1
673																																		1						1
674																																		1						1
675																																		1						1
676																																		1						1
677																																		1						1
678																																		1						1
679																																		3						3
680																																		1						1
681																																		1						1
682																																		1						1
683																																		1						1
684																																		1						1
685																																		1						1
686																																		1						1
687																																		1						1
688																																		1						1
689																																		1						1
690																																		1						1
691																																		6						6
692																																		2						2
693																																		1						1
694																																		1						1
695																																		1						1
696																																		1						1
697																																		1						1
698																																		1						1
699																																		1						1
700																																		1						1
701																																		1						1
702																																		1						1
703																																		1						1
704																																		1						1
705																																		1						1
706																																		1						1
707																																		1						1
708																																		2						2
709																																		1						1
710																																		1						1
711																																		1						1
712																																		1						1
713																																		1						1
714																																		1						1
715																																		1						1
716																																		1						1
717																																		1						1
